"M_F",100,105,110,115,120,125,130,135,140,145,150,155,160,165,170,175,180,185,190
"XS","751.3"," 633.5"," 540.3"," 460.3"," 398.0"," 343.3"," 300.1"," 262.3"," 231.9"," 203.9"," 181.0"," 161.1"," 144.1"," 128.9"," 115.6"," 103.8"," 93.82"," 84.97"," 77.13"
